epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,1153.8,0.3501,0.4838,1.02289,0.95903,0.95697,0.97608,0.83037,0.64088,0.61484,0.74958,0.000775822,0.000775822,0.000775822
56,1175.52,0.34646,0.46868,1.02242,0.97223,0.91981,0.9713,0.82389,0.6296,0.67212,0.74302,0.000759318,0.000759318,0.000759318
57,1196.95,0.33833,0.45589,1.01967,0.97165,0.9566,0.97639,0.83377,0.61794,0.60363,0.74772,0.000742815,0.000742815,0.000742815
58,1218.3,0.3425,0.45871,1.01605,0.94831,0.96303,0.9772,0.81727,0.64992,0.58593,0.76502,0.000726312,0.000726312,0.000726312
59,1239.7,0.33477,0.45358,1.01358,0.98374,0.92137,0.97514,0.84832,0.62287,0.59581,0.7558,0.000709809,0.000709809,0.000709809
60,1261.23,0.33849,0.4563,1.01608,0.95591,0.93443,0.97115,0.82236,0.65494,0.62159,0.77517,0.000693305,0.000693305,0.000693305
61,1282.88,0.34116,0.45928,1.01727,0.97591,0.94493,0.97492,0.83059,0.59447,0.53233,0.71239,0.000676802,0.000676802,0.000676802
62,1304.1,0.33952,0.45641,1.01318,0.98021,0.94704,0.98128,0.83679,0.60526,0.56515,0.7225,0.000660299,0.000660299,0.000660299
63,1325.72,0.32961,0.44518,1.01151,0.95506,0.95856,0.97521,0.82572,0.58107,0.53195,0.68882,0.000643795,0.000643795,0.000643795
64,1347.5,0.34146,0.45296,1.01687,0.97603,0.96107,0.97778,0.83391,0.59903,0.54283,0.7092,0.000627292,0.000627292,0.000627292
65,1369.11,0.33911,0.45255,1.01711,0.9385,0.95902,0.97435,0.8182,0.62623,0.55192,0.70301,0.000610789,0.000610789,0.000610789
66,1390.55,0.32936,0.44724,1.00708,0.97805,0.94186,0.98105,0.84139,0.55665,0.53623,0.66877,0.000594286,0.000594286,0.000594286
67,1411.76,0.33234,0.45308,1.00846,0.97606,0.95674,0.97853,0.83506,0.58465,0.56351,0.70572,0.000577782,0.000577782,0.000577782
68,1433.37,0.32255,0.43545,1.0068,0.9779,0.94421,0.97659,0.8232,0.60575,0.56989,0.72526,0.000561279,0.000561279,0.000561279
69,1454.96,0.32638,0.44156,1.0095,0.96647,0.96213,0.97562,0.82995,0.6369,0.59974,0.77297,0.000544776,0.000544776,0.000544776
70,1476.23,0.33232,0.43071,1.01132,0.95577,0.94262,0.97476,0.8415,0.53344,0.54062,0.668,0.000528272,0.000528272,0.000528272
71,1497.55,0.31813,0.43324,0.99976,0.96464,0.95912,0.97598,0.833,0.62257,0.56214,0.75593,0.000511769,0.000511769,0.000511769
72,1519.49,0.31697,0.4316,0.99769,0.97801,0.94672,0.97835,0.83406,0.61047,0.58891,0.7398,0.000495266,0.000495266,0.000495266
73,1540.75,0.32317,0.42775,1.00414,0.96137,0.93952,0.97338,0.81509,0.60635,0.59981,0.74025,0.000478762,0.000478762,0.000478762
74,1562.32,0.31223,0.42171,0.99643,0.97112,0.96311,0.97807,0.84671,0.57634,0.56367,0.7228,0.000462259,0.000462259,0.000462259
